summary,kcut,klabel,noise_id,sigma_rad,sigma_tran,n_points,mean_z,min_z,max_z
Pk0,kmin-0.0_kmax-0.2,k<0.2,0,0.0,0.0,1,2.1340794451999687,2.1340794451999687,2.1340794451999687
Pk0,kmin-0.0_kmax-0.2,k<0.2,1,0.75175,0.0,1,2.094483277461564,2.094483277461564,2.094483277461564
Pk0,kmin-0.0_kmax-0.2,k<0.2,2,1.5035,0.0,1,2.1686483984683598,2.1686483984683598,2.1686483984683598
Pk0,kmin-0.0_kmax-0.2,k<0.2,3,2.25525,0.0,1,2.024651501792286,2.024651501792286,2.024651501792286
Pk0,kmin-0.0_kmax-0.2,k<0.2,4,3.007,0.0,1,2.0089451882981946,2.0089451882981946,2.0089451882981946
Pk0,kmin-0.0_kmax-0.2,k<0.2,5,3.75875,0.0,1,2.0665582179350235,2.0665582179350235,2.0665582179350235
Pk0,kmin-0.0_kmax-0.2,k<0.2,6,4.5105,0.0,1,1.5671861136346035,1.5671861136346035,1.5671861136346035
Pk0,kmin-0.0_kmax-0.2,k<0.2,7,0.0,0.75175,1,2.075472182566419,2.075472182566419,2.075472182566419
Pk0,kmin-0.0_kmax-0.2,k<0.2,8,0.75175,0.75175,1,2.069412170559267,2.069412170559267,2.069412170559267
Pk0,kmin-0.0_kmax-0.2,k<0.2,9,1.5035,0.75175,1,2.0244146306927764,2.0244146306927764,2.0244146306927764
Pk0,kmin-0.0_kmax-0.2,k<0.2,10,2.25525,0.75175,1,2.028833612111152,2.028833612111152,2.028833612111152
Pk0,kmin-0.0_kmax-0.2,k<0.2,11,3.007,0.75175,1,1.9222501272997639,1.9222501272997639,1.9222501272997639
Pk0,kmin-0.0_kmax-0.2,k<0.2,12,3.75875,0.75175,1,2.0520929262349066,2.0520929262349066,2.0520929262349066
Pk0,kmin-0.0_kmax-0.2,k<0.2,13,4.5105,0.75175,1,1.4740606427436842,1.4740606427436842,1.4740606427436842
Pk0,kmin-0.0_kmax-0.2,k<0.2,14,0.0,1.5035,1,2.0846298505930703,2.0846298505930703,2.0846298505930703
Pk0,kmin-0.0_kmax-0.2,k<0.2,15,0.75175,1.5035,1,2.04568384770532,2.04568384770532,2.04568384770532
Pk0,kmin-0.0_kmax-0.2,k<0.2,16,1.5035,1.5035,1,1.985297584728307,1.985297584728307,1.985297584728307
Pk0,kmin-0.0_kmax-0.2,k<0.2,17,2.25525,1.5035,1,1.9055813586566623,1.9055813586566623,1.9055813586566623
Pk0,kmin-0.0_kmax-0.2,k<0.2,18,3.007,1.5035,1,1.9841526653502486,1.9841526653502486,1.9841526653502486
Pk0,kmin-0.0_kmax-0.2,k<0.2,19,3.75875,1.5035,1,1.5500122835826367,1.5500122835826367,1.5500122835826367
Pk0,kmin-0.0_kmax-0.2,k<0.2,20,4.5105,1.5035,1,1.5931746283536186,1.5931746283536186,1.5931746283536186
Pk0,kmin-0.0_kmax-0.2,k<0.2,21,0.0,2.25525,1,1.9686442647972793,1.9686442647972793,1.9686442647972793
Pk0,kmin-0.0_kmax-0.2,k<0.2,22,0.75175,2.25525,1,1.8761184556744754,1.8761184556744754,1.8761184556744754
Pk0,kmin-0.0_kmax-0.2,k<0.2,23,1.5035,2.25525,1,1.8992949375111041,1.8992949375111041,1.8992949375111041
Pk0,kmin-0.0_kmax-0.2,k<0.2,24,2.25525,2.25525,1,1.903799017429238,1.903799017429238,1.903799017429238
Pk0,kmin-0.0_kmax-0.2,k<0.2,25,3.007,2.25525,1,1.5306176304489365,1.5306176304489365,1.5306176304489365
Pk0,kmin-0.0_kmax-0.2,k<0.2,26,3.75875,2.25525,1,1.4837866180094326,1.4837866180094326,1.4837866180094326
Pk0,kmin-0.0_kmax-0.2,k<0.2,27,4.5105,2.25525,1,1.4646033066776853,1.4646033066776853,1.4646033066776853
Pk0,kmin-0.0_kmax-0.2,k<0.2,28,0.0,3.007,1,1.8008132966766601,1.8008132966766601,1.8008132966766601
Pk0,kmin-0.0_kmax-0.2,k<0.2,29,0.75175,3.007,1,1.7839016488581438,1.7839016488581438,1.7839016488581438
Pk0,kmin-0.0_kmax-0.2,k<0.2,30,1.5035,3.007,1,1.5980585586202671,1.5980585586202671,1.5980585586202671
Pk0,kmin-0.0_kmax-0.2,k<0.2,31,2.25525,3.007,1,1.4503353273197235,1.4503353273197235,1.4503353273197235
Pk0,kmin-0.0_kmax-0.2,k<0.2,32,3.007,3.007,1,1.5251677359408862,1.5251677359408862,1.5251677359408862
Pk0,kmin-0.0_kmax-0.2,k<0.2,33,3.75875,3.007,1,1.4205047786974532,1.4205047786974532,1.4205047786974532
