summary,kcut,klabel,noise_id,sigma_rad,sigma_tran,n_points,mean_z,min_z,max_z
zPk0,kmin-0.0_kmax-0.2,k<0.2,8,0.75175,0.75175,5,0.7491401497381348,0.24421130742637825,1.2657418736131079
zPk0,kmin-0.0_kmax-0.2,k<0.2,16,1.5035,1.5035,5,0.7286460493876717,0.28278891162904457,1.308598169768828
zPk0,kmin-0.0_kmax-0.2,k<0.2,24,2.25525,2.25525,5,0.7432653567153944,0.17759221622815632,1.4257689112410885
zPk0,kmin-0.0_kmax-0.4,k<0.4,8,0.75175,0.75175,5,0.9290167908555123,0.3131381374225421,1.6536701244065632
zPk0,kmin-0.0_kmax-0.4,k<0.4,16,1.5035,1.5035,5,0.9895415811003447,0.46394446191488425,1.853849668587787
zPk0,kmin-0.0_kmax-0.4,k<0.4,24,2.25525,2.25525,5,0.9883698047265824,0.41281929999758,1.9219862706280686
zPk0,kmin-0.0_kmax-0.6,k<0.6,8,0.75175,0.75175,5,3.671398326968049,1.77144493988998,8.191672078839284
zPk0,kmin-0.0_kmax-0.6,k<0.6,16,1.5035,1.5035,5,2.1688916375964404,0.9442809790868217,3.8686751924523732
zPk0,kmin-0.0_kmax-0.6,k<0.6,24,2.25525,2.25525,5,0.6818148242117511,0.1476113510777954,1.3670579734346384
zPk0+zPk2+zPk4,kmin-0.0_kmax-0.2,k<0.2,8,0.75175,0.75175,5,0.8940769054827514,0.5364784490424851,1.1220090661970838
zPk0+zPk2+zPk4,kmin-0.0_kmax-0.2,k<0.2,16,1.5035,1.5035,5,0.8804921231224615,0.5926276728834988,1.1036212355463533
zPk0+zPk2+zPk4,kmin-0.0_kmax-0.2,k<0.2,24,2.25525,2.25525,5,0.8339341802204336,0.5546151859734527,1.0737024233450116
zPk0+zPk2+zPk4,kmin-0.0_kmax-0.4,k<0.4,8,0.75175,0.75175,5,2.6691412131897048,0.4127148008713067,4.7853931858032475
zPk0+zPk2+zPk4,kmin-0.0_kmax-0.4,k<0.4,16,1.5035,1.5035,5,2.645255366989248,0.3239536905462016,4.713603939421231
zPk0+zPk2+zPk4,kmin-0.0_kmax-0.4,k<0.4,24,2.25525,2.25525,5,2.546096803078041,0.40198976118462615,4.206252618040641
zPk0+zPk2+zPk4,kmin-0.0_kmax-0.6,k<0.6,8,0.75175,0.75175,5,1.2588926962234324,0.8219686816699249,1.6678378150027848
zPk0+zPk2+zPk4,kmin-0.0_kmax-0.6,k<0.6,16,1.5035,1.5035,5,2.9208026204591095,0.9735472351833299,4.567251987287328
zPk0+zPk2+zPk4,kmin-0.0_kmax-0.6,k<0.6,24,2.25525,2.25525,5,2.544505226690301,1.4832159143045596,3.285180137377199
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.2,"zPk<0.2, zBk<0.2",8,0.75175,0.75175,5,1.654194984836749,0.8694498948072508,2.7088669640020444
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.2,"zPk<0.2, zBk<0.2",16,1.5035,1.5035,5,1.6013309572620655,0.8335128715936042,2.5794327611182597
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.2,"zPk<0.2, zBk<0.2",24,2.25525,2.25525,5,1.5365437399830384,0.8407023057526173,2.309491606860254
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",8,0.75175,0.75175,5,3.3316267596711797,1.508907965231154,5.109800918865366
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",16,1.5035,1.5035,5,3.288169102825833,1.393000127049636,5.062795659243779
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",24,2.25525,2.25525,5,3.0654680307060245,1.344982689838719,5.139816623265919
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.4__zPk=0.4,"zPk<0.4, zBk<0.4",8,0.75175,0.75175,5,2.6488444732093424,0.9102654077445301,5.86608999745253
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.4__zPk=0.4,"zPk<0.4, zBk<0.4",16,1.5035,1.5035,5,2.705770452187555,0.9158733940142527,6.021215703651086
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.4__zPk=0.4,"zPk<0.4, zBk<0.4",24,2.25525,2.25525,5,2.716669347591509,0.9301973948517244,6.2242587104154
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.6,"zPk<0.6, zBk<0.2",8,0.75175,0.75175,5,2.4060797598284065,0.604456511263335,3.860920350548306
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.6,"zPk<0.6, zBk<0.2",16,1.5035,1.5035,5,2.642970959029325,1.0543910435327102,3.35844303405005
zPk0+zPk2+zPk4+zBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.6,"zPk<0.6, zBk<0.2",24,2.25525,2.25525,5,2.411755437230954,0.8949681777143252,3.094812988379995
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.2,"zPk<0.2, zBk<0.2",8,0.75175,0.75175,5,1.6501583578664252,0.6801339927694828,2.8259154739739984
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.2,"zPk<0.2, zBk<0.2",16,1.5035,1.5035,5,1.5265714084237043,0.6186389850506285,2.5332327076789745
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.2,"zPk<0.2, zBk<0.2",24,2.25525,2.25525,5,1.3925283964433954,0.622627106684241,2.1772942275762004
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",8,0.75175,0.75175,5,3.2227567029350284,1.4297294422370965,4.63445124767862
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",16,1.5035,1.5035,5,3.19385556010215,1.3815180978070738,4.4610861896896905
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.2__zPk=0.4,"zPk<0.4, zBk<0.2",24,2.25525,2.25525,5,2.775646755624448,1.2807527661765779,4.2959814146081685
zPk0+zPk2+zPk4+zEqBk0,kmin-0.0_kmax-zBk=0.4__zPk=0.4,"zPk<0.4, zBk<0.4",8,0.75175,0.75175,5,2.7575676238165685,1.049258510970588,5.843942174435089
